Date,Open,High,Low,Close,Adj Close,Volume
2020-01-09,6.033000,6.036000,5.999000,6.008500,6.008500,126549
2020-01-10,6.049000,6.095000,6.049000,6.102000,6.102000,230588
2020-01-13,6.099000,6.099000,6.067000,6.067000,6.067000,67686
2020-01-14,6.093000,6.118000,6.087000,6.112500,6.112500,197396
2020-01-15,6.140000,6.160000,6.138000,6.159000,6.159000,127501
2020-01-16,6.157000,6.170000,6.133000,6.125000,6.125000,63035
2020-01-17,6.094000,6.107000,6.064000,6.084500,6.084500,195075
2020-01-20,6.104000,6.104000,6.088000,6.092500,6.092500,72939
2020-01-21,6.141000,6.163000,6.123000,6.158000,6.158000,375778
2020-01-22,6.155000,6.184000,6.144000,6.168000,6.168000,103232
2020-01-23,6.215000,6.238000,6.200000,6.238000,6.238000,239468
2020-01-24,6.213000,6.269000,6.193000,6.265500,6.265500,146938
2020-01-27,6.323000,6.354000,6.323000,6.347000,6.347000,136872
2020-01-28,6.350000,6.397200,6.312000,6.312000,6.312000,277522
2020-01-29,6.355000,6.364000,6.330000,6.343000,6.343000,121537
2020-01-30,6.420000,6.420000,6.375000,6.404500,6.404500,309465
2020-01-31,6.400000,6.444000,6.396000,6.444000,6.444000,45945
2020-02-03,6.433000,6.433000,6.379000,6.412000,6.412000,126601
2020-02-04,6.430000,6.430000,6.340000,6.359000,6.359000,133580
2020-02-05,6.339000,6.339000,6.282000,6.297000,6.297000,87888
2020-02-06,6.300000,6.319000,6.268000,6.300500,6.300500,260940
2020-02-07,6.355000,6.393000,6.355000,6.378500,6.378500,721173
2020-02-10,6.412000,6.418000,6.386000,6.418000,6.418000,215650
2020-02-11,6.391000,6.404000,6.368000,6.385000,6.385000,354190
2020-02-12,6.348000,6.355300,6.330000,6.331500,6.331500,47490
2020-02-13,6.451000,6.451000,6.347000,6.348000,6.348000,164746
2020-02-14,6.383000,6.414000,6.370000,6.407000,6.407000,470945
2020-02-17,6.392000,6.405000,6.392000,6.398500,6.398500,41479
2020-02-18,6.468000,6.468000,6.418000,6.458000,6.458000,87637
2020-02-19,6.417000,6.458000,6.411000,6.425000,6.425000,102537
2020-02-20,6.446000,6.493000,6.438000,6.490000,6.490000,363417
2020-02-21,6.522000,6.571000,6.522000,6.547500,6.547500,140664
2020-02-24,6.572000,6.670000,6.572000,6.661500,6.661500,301962
2020-02-25,6.601000,6.699000,6.601000,6.686000,6.686000,281328
2020-02-26,6.641000,6.699000,6.616000,6.659500,6.659500,348341
2020-02-27,6.710000,6.767000,6.696000,6.722000,6.722000,237016
2020-02-28,6.831000,6.877000,6.793000,6.877500,6.877500,261082
2020-03-02,6.802000,6.924000,6.802000,6.870000,6.870000,1014939
2020-03-03,6.818000,6.875000,6.785000,6.900000,6.900000,150201
2020-03-04,6.963000,6.985000,6.900000,6.930000,6.930000,167289
2020-03-05,6.850000,6.975000,6.850000,6.960000,6.960000,114670
2020-03-06,7.167000,7.461000,7.167000,7.372500,7.372500,727749
2020-03-09,8.032000,8.032000,7.665000,7.734500,7.734500,478786
2020-03-10,7.558000,7.671000,7.260000,7.577500,7.577500,270751
2020-03-11,7.443000,7.458000,7.237000,7.243000,7.243000,466504
2020-03-12,7.278000,7.436000,6.564000,6.835000,6.835000,303098
2020-03-13,6.800000,6.966000,5.950000,6.900000,6.900000,459773
2020-03-16,7.200000,7.200000,6.895000,6.997000,6.997000,2552736
2020-03-17,7.180000,7.299000,7.019000,7.089500,7.089500,391594
2020-03-18,6.500000,6.960000,6.500000,6.623500,6.623500,198834
2020-03-19,6.600000,6.719000,6.500000,6.500000,6.500000,111651
2020-03-20,6.500000,6.998000,6.500000,6.916000,6.916000,544363
2020-03-23,6.962000,7.200000,6.915000,6.949000,6.949000,409514
2020-03-24,6.960000,7.220000,6.960000,7.126500,7.126500,284061
2020-03-25,7.129000,7.378000,7.070000,7.231000,7.231000,310219
2020-03-26,7.342000,7.344000,7.171000,7.245000,7.245000,242099
2020-03-27,7.343000,7.372000,7.220000,7.303500,7.303500,110064
2020-03-30,7.345000,7.590000,7.293200,7.441000,7.441000,154793
2020-03-31,7.327000,7.475400,7.259000,7.300000,7.300000,2419853
2020-04-01,7.318000,7.533000,7.318000,7.503500,7.503500,208239
2020-04-02,7.414000,7.522000,7.414000,7.447000,7.447000,148086
2020-04-03,7.424000,7.539000,7.424000,7.527000,7.527000,293491
2020-04-06,7.470000,7.479000,7.402000,7.442500,7.442500,279230
2020-04-07,7.350000,7.363000,7.258000,7.332000,7.332000,463708
2020-04-08,7.362000,7.408000,7.311000,7.334500,7.334500,131549
2020-04-09,7.347000,7.365000,7.257000,7.331000,7.331000,195354
2020-04-14,7.290000,7.303000,7.237700,7.276000,7.276000,339837
2020-04-15,7.336000,7.470000,7.325000,7.425000,7.425000,235660
2020-04-16,7.458000,7.547000,7.426000,7.539000,7.539000,178787
2020-04-17,7.512000,7.579000,7.476000,7.547500,7.547500,57701
2020-04-20,7.468000,7.491000,7.444000,7.464500,7.464500,117893
2020-04-21,7.533000,7.641000,7.518000,7.617500,7.617500,206404
2020-04-22,7.614000,7.620000,7.506000,7.520500,7.520500,74574
2020-04-23,7.571000,7.571000,7.500000,7.543000,7.543000,151581
2020-04-24,7.585000,7.602000,7.515000,7.531000,7.531000,210062
2020-04-27,7.561000,7.565000,7.460000,7.464000,7.464000,237108
2020-04-28,7.449000,7.516000,7.424000,7.507000,7.507000,414901
2020-04-29,7.553000,7.567000,7.510000,7.517500,7.517500,275907
2020-04-30,7.490000,7.529000,7.457000,7.478000,7.478000,444779
2020-05-01,7.451000,7.491000,7.394000,7.439000,7.439000,262136
2020-05-04,7.475000,7.509000,7.403000,7.425500,7.425500,81007
2020-05-05,7.389000,7.389000,7.343000,7.383000,7.383000,85766
2020-05-06,7.342000,7.360000,7.211000,7.223000,7.223000,321608
2020-05-07,7.282000,7.327000,7.234000,7.327000,7.327000,195785
