"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15, 2000","3,079.3","3,079.3","3,079.3","3,079.3","-","1.22%"
"Nov 14, 2000","3,042.1","3,042.1","3,042.1","3,042.1","-","7.15%"
"Nov 13, 2000","2,839.0","2,839.0","2,839.0","2,839.0","-","-1.86%"
"Nov 10, 2000","2,892.7","2,892.7","2,892.7","2,892.7","-","-5.45%"
"Nov 09, 2000","3,059.6","3,059.6","3,059.6","3,059.6","-","-0.07%"
"Nov 08, 2000","3,061.7","3,061.7","3,061.7","3,061.7","-","-6.72%"
"Nov 07, 2000","3,282.3","3,282.3","3,282.3","3,282.3","-","-0.33%"
"Nov 06, 2000","3,293.2","3,293.2","3,293.2","3,293.2","-","-0.95%"
"Nov 03, 2000","3,324.7","3,324.7","3,324.7","3,324.7","-","0.41%"
"Nov 02, 2000","3,311.2","3,311.2","3,311.2","3,311.2","-","2.58%"
"Nov 01, 2000","3,227.9","3,227.9","3,227.9","3,227.9","-","-1.74%"
"Oct 31, 2000","3,285.0","3,285.0","3,285.0","3,285.0","-","6.53%"
"Oct 30, 2000","3,083.6","3,083.6","3,083.6","3,083.6","-","-2.96%"
"Oct 27, 2000","3,177.8","3,177.8","3,177.8","3,177.8","-","0.26%"
"Oct 26, 2000","3,169.7","3,169.7","3,169.7","3,169.7","-","1.92%"
"Oct 25, 2000","3,110.1","3,110.1","3,110.1","3,110.1","-","-7.32%"
"Oct 24, 2000","3,355.9","3,355.9","3,355.9","3,355.9","-","-2.01%"
"Oct 23, 2000","3,424.7","3,424.7","3,424.7","3,424.7","-","-1.00%"
"Oct 20, 2000","3,459.4","3,459.4","3,459.4","3,459.4","-","1.58%"
"Oct 19, 2000","3,405.7","3,405.7","3,405.7","3,405.7","-","8.40%"
"Oct 18, 2000","3,141.8","3,141.8","3,141.8","3,141.8","-","-1.04%"
"Oct 17, 2000","3,174.7","3,174.7","3,174.7","3,174.7","-","-2.38%"
"Oct 16, 2000","3,252.0","3,252.0","3,252.0","3,252.0","-","-0.87%"
"Oct 13, 2000","3,280.4","3,280.4","3,280.4","3,280.4","-","9.10%"
"Oct 12, 2000","3,006.8","3,006.8","3,006.8","3,006.8","-","-3.10%"
"Oct 11, 2000","3,103.0","3,103.0","3,103.0","3,103.0","-","-2.75%"
"Oct 10, 2000","3,190.8","3,190.8","3,190.8","3,190.8","-","-3.93%"
"Oct 09, 2000","3,321.5","3,321.5","3,321.5","3,321.5","-","0.21%"
"Oct 06, 2000","3,314.6","3,314.6","3,314.6","3,314.6","-","-3.28%"
"Oct 05, 2000","3,427.0","3,427.0","3,427.0","3,427.0","-","-0.84%"
"Oct 04, 2000","3,456.1","3,456.1","3,456.1","3,456.1","-","2.98%"
"Oct 03, 2000","3,356.0","3,356.0","3,356.0","3,356.0","-","-3.03%"
"Oct 02, 2000","3,460.7","3,460.7","3,460.7","3,460.7","-","-3.16%"
"Sep 29, 2000","3,573.5","3,573.5","3,573.5","3,573.5","-","-4.15%"
"Sep 28, 2000","3,728.1","3,728.1","3,728.1","3,728.1","-","4.29%"
"Sep 27, 2000","3,574.7","3,574.7","3,574.7","3,574.7","-","-0.30%"
"Sep 26, 2000","3,585.4","3,585.4","3,585.4","3,585.4","-","-1.09%"
"Sep 25, 2000","3,625.0","3,625.0","3,625.0","3,625.0","-","-2.14%"
"Sep 22, 2000","3,704.1","3,704.1","3,704.1","3,704.1","-","-0.46%"
"Sep 21, 2000","3,721.1","3,721.1","3,721.1","3,721.1","-","-1.91%"
"Sep 20, 2000","3,793.4","3,793.4","3,793.4","3,793.4","-","0.90%"
"Sep 19, 2000","3,759.4","3,759.4","3,759.4","3,759.4","-","4.77%"
"Sep 18, 2000","3,588.4","3,588.4","3,588.4","3,588.4","-","-2.47%"
"Sep 15, 2000","3,679.2","3,679.2","3,679.2","3,679.2","-","-1.64%"
"Sep 14, 2000","3,740.4","3,740.4","3,740.4","3,740.4","-","-0.11%"
"Sep 13, 2000","3,744.7","3,744.7","3,744.7","3,744.7","-","2.04%"
"Sep 12, 2000","3,669.8","3,669.8","3,669.8","3,669.8","-","-1.08%"
"Sep 11, 2000","3,709.7","3,709.7","3,709.7","3,709.7","-","-2.80%"
"Sep 08, 2000","3,816.5","3,816.5","3,816.5","3,816.5","-","-3.54%"
"Sep 07, 2000","3,956.5","3,956.5","3,956.5","3,956.5","-","3.02%"
"Sep 06, 2000","3,840.7","3,840.7","3,840.7","3,840.7","-","-3.75%"
"Sep 05, 2000","3,990.2","3,990.2","3,990.2","3,990.2","-","-2.74%"
"Sep 01, 2000","4,102.6","4,102.6","4,102.6","4,102.6","-","0.53%"
"Aug 31, 2000","4,080.8","4,080.8","4,080.8","4,080.8","-","2.74%"
"Aug 30, 2000","3,971.9","3,971.9","3,971.9","3,971.9","-","0.42%"
"Aug 29, 2000","3,955.1","3,955.1","3,955.1","3,955.1","-","-0.06%"
"Aug 28, 2000","3,957.4","3,957.4","3,957.4","3,957.4","-","0.59%"
"Aug 25, 2000","3,934.3","3,934.3","3,934.3","3,934.3","-","-0.47%"
"Aug 24, 2000","3,952.7","3,952.7","3,952.7","3,952.7","-","1.35%"
"Aug 23, 2000","3,900.0","3,900.0","3,900.0","3,900.0","-","1.80%"
"Aug 22, 2000","3,830.9","3,830.9","3,830.9","3,830.9","-","0.01%"
"Aug 21, 2000","3,830.6","3,830.6","3,830.6","3,830.6","-","0.53%"
"Aug 18, 2000","3,810.5","3,810.5","3,810.5","3,810.5","-","-0.60%"
"Aug 17, 2000","3,833.6","3,833.6","3,833.6","3,833.6","-","2.94%"
"Aug 16, 2000","3,724.2","3,724.2","3,724.2","3,724.2","-","-0.03%"
"Aug 15, 2000","3,725.5","3,725.5","3,725.5","3,725.5","-","0.08%"
"Aug 14, 2000","3,722.5","3,722.5","3,722.5","3,722.5","-","2.06%"
"Aug 11, 2000","3,647.4","3,647.4","3,647.4","3,647.4","-","1.37%"
"Aug 10, 2000","3,598.0","3,598.0","3,598.0","3,598.0","-","-2.65%"
"Aug 09, 2000","3,695.9","3,695.9","3,695.9","3,695.9","-","0.18%"
"Aug 08, 2000","3,689.2","3,689.2","3,689.2","3,689.2","-","-0.65%"
